nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,reservation_recommandee
Chez Nathalie,"142 rue Saint-Honoré, 75006 Paris",75006,48.844974,2.384512,Brésilien,Brasserie,30-50,Moyenne gamme,3.1,305,Moderne,0199681997,true
Assiette Impérial,"30 rue du Commerce, 75008 Paris",75008,48.917075,2.368955,Américain,,10-20,Bon marché,3.1,821,Moderne,0186824666,true
Les Jacques,"129 rue du Commerce, 75016 Paris",75016,48.969927,2.364288,Italien,,30-50,Moyenne gamme,4.2,36,Branché,0139968385,false
Les Regnier,"148 boulevard Saint-Germain, 75006 Paris",75006,48.913923,2.395815,Brésilien,,20-30,Moyenne gamme,5.0,456,Historique,0121705462,true
Les Denis,"106 rue du Temple, 75016 Paris",75016,48.940238,2.250196,Coréen,,100+,Haut de gamme,3.1,100,Festif,0142512461,false
Palais Impérial,"14 rue du Faubourg Saint-Antoine, 75017 Paris",75017,48.965435,2.353508,Méditerranéen,Sushi,10-20,Bon marché,3.4,572,Élégant,0146669972,true
Chez Alexandria,"41 avenue de l'Opéra, 75018 Paris",75018,48.882025,2.330277,Grecque,Végan,50-100,Haut de gamme,4.9,673,Élégant,0173477544,true
Chevalier & Courtois,"142 rue Cler, 75013 Paris",75013,48.850754,2.349779,Africain,,20-30,Moyenne gamme,4.7,292,Vue panoramique,0153744410,true
Cousin & Techer,"39 boulevard de Grenelle, 75018 Paris",75018,48.931843,2.25742,Thaïlandais,Gastronomique,50-100,Haut de gamme,3.9,339,Animé,0199408359,true
Maurice & Étienne,"98 boulevard Raspail, 75005 Paris",75005,48.869696,2.361313,Italien,Street food,30-50,Moyenne gamme,4.7,905,Authentique,0122776811,false
Chez Hortense,"20 rue de la Gaîté, 75009 Paris",75009,48.916348,2.298854,Coréen,Crêperie,100+,Haut de gamme,3.8,334,Historique,0179148918,true
Chez Léon,"24 rue de la Convention, 75004 Paris",75004,48.873217,2.291514,Ramen,,50-100,Haut de gamme,3.3,316,Romantique,0115511747,true
Fischer & Muller,"145 boulevard de Magenta, 75006 Paris",75006,48.913363,2.402814,Japonais,Bistrot,100+,Haut de gamme,4.4,519,Élégant,0139699142,true
Lambert & Peltier,"74 boulevard de Magenta, 75018 Paris",75018,48.865398,2.332145,Brésilien,,100+,Haut de gamme,3.6,995,Vue panoramique,0198426848,true
Chez Michel,"98 avenue Parmentier, 75012 Paris",75012,48.859895,2.358225,Mexicain,Tapas,50-100,Haut de gamme,3.5,589,Familial,0187734639,false
Chez Pénélope,"25 boulevard de la Villette, 75002 Paris",75002,48.948998,2.312196,Brésilien,Crêperie,20-30,Moyenne gamme,3.2,312,Festif,0163323526,false
Table d'Or,"66 rue de la Gaîté, 75010 Paris",75010,48.934416,2.252366,Crêperie,,50-100,Haut de gamme,4.9,154,Calme,0196966081,true
Délice Impérial,"95 boulevard de Magenta, 75009 Paris",75009,48.878925,2.369183,Vietnamien,Burger,50-100,Haut de gamme,3.1,915,Festif,0188389218,false
Charpentier & Chevalier,"30 rue Mouffetard, 75002 Paris",75002,48.918402,2.341833,Pizza,,10-20,Bon marché,3.2,918,Élégant,0159685795,false
Goût Impérial,"26 boulevard Barbès, 75020 Paris",75020,48.966233,2.310975,Américain,Crêperie,20-30,Moyenne gamme,3.9,983,Calme,0156229757,false
Rey & Roussel,"71 rue du Faubourg Saint-Antoine, 75004 Paris",75004,48.930077,2.285217,Brasserie,Marocain,100+,Haut de gamme,4.9,61,Festif,0141268236,true
Chez Roger,"85 rue Cler, 75020 Paris",75020,48.934033,2.350105,Indien,,100+,Haut de gamme,3.5,188,Cosy,0194132611,true
La Vieux de la Place,"108 avenue de Clichy, 75004 Paris",75004,48.877867,2.413884,Brasserie,Vietnamien,100+,Haut de gamme,4.2,472,Convivial,0138881594,false
Bousquet,"103 rue de la Convention, 75004 Paris",75004,48.855282,2.419087,Brésilien,Végan,30-50,Moyenne gamme,4.2,77,Élégant,0145899184,false
Table Impérial,"130 rue Saint-Maur, 75014 Paris",75014,48.867784,2.374034,Chinois,,100+,Haut de gamme,4.4,230,Vue panoramique,0167396253,false
Les Marchal,"110 rue de Turbigo, 75009 Paris",75009,48.899699,2.34547,Indien,Brasserie,10-20,Bon marché,3.2,97,Branché,0165225726,false
Les Goncalves,"32 rue de la Pompe, 75012 Paris",75012,48.838122,2.268397,Sushi,Italien,30-50,Moyenne gamme,4.2,370,Cosy,0183743729,false
Cuisine de Paris,"72 avenue Parmentier, 75008 Paris",75008,48.846456,2.37961,Gastronomique,,100+,Haut de gamme,4.2,668,Romantique,0187949844,true
Les Lemaître,"90 rue de Rivoli, 75006 Paris",75006,48.82676,2.302978,Street food,Japonais,20-30,Moyenne gamme,4.5,41,Branché,0177375863,true
Les Monnier,"146 rue Saint-Maur, 75003 Paris",75003,48.92834,2.269349,Fruits de mer,Italien,10-20,Bon marché,3.5,687,Vue panoramique,0172876663,true
Lacroix & Leconte,"29 rue Daguerre, 75019 Paris",75019,48.801314,2.376992,Mexicain,Bistrot,100+,Haut de gamme,3.1,219,Moderne,0137274247,true
Chez René,"34 boulevard Raspail, 75018 Paris",75018,48.897879,2.347478,Gastronomique,Vietnamien,10-20,Bon marché,3.8,769,Familial,0165126819,false
Boutin & Normand,"75 rue Oberkampf, 75013 Paris",75013,48.868076,2.26337,Thaïlandais,Street food,50-100,Haut de gamme,4.7,951,Intime,0121652341,true
Les Jourdan,"87 rue Lepic, 75011 Paris",75011,48.843515,2.279495,Végan,Chinois,100+,Haut de gamme,4.0,937,Intime,0154922840,true
Chez David,"20 avenue Montaigne, 75016 Paris",75016,48.851479,2.296695,Brésilien,Street food,100+,Haut de gamme,3.6,652,Festif,0129661870,true
Les Bon des Saveurs,"116 boulevard Saint-Germain, 75002 Paris",75002,48.897182,2.282001,Mexicain,Végan,100+,Haut de gamme,4.2,403,Authentique,0184801567,false
Palais Parisien,"39 rue de la Paix, 75015 Paris",75015,48.826987,2.313385,Thaïlandais,,10-20,Bon marché,4.0,186,Familial,0141666677,false
Les Raynaud,"100 rue de la Pompe, 75011 Paris",75011,48.856672,2.349066,Italien,,30-50,Moyenne gamme,3.1,106,Terrasse,0146429487,false
Chez Luce,"90 avenue de l'Opéra, 75013 Paris",75013,48.803099,2.302507,Japonais,Bistrot,30-50,Moyenne gamme,4.6,696,Convivial,0121929564,false
Chez Jean,"88 boulevard Barbès, 75007 Paris",75007,48.864042,2.277582,Indien,Pizza,10-20,Bon marché,4.0,562,Convivial,0114945389,true
Goût Français,"113 boulevard Saint-Germain, 75014 Paris",75014,48.933343,2.403676,Espagnol,,100+,Haut de gamme,3.6,776,Authentique,0139784049,false
Chez Élisabeth,"95 boulevard de Magenta, 75019 Paris",75019,48.8817,2.313106,Brasserie,,50-100,Haut de gamme,4.0,438,Décontracté,0135872742,true
Goncalves,"133 rue Oberkampf, 75010 Paris",75010,48.885341,2.290082,Libanais,Gastronomique,20-30,Moyenne gamme,4.7,103,Calme,0167541363,true
Le Délicieux de Paris,"86 rue Cler, 75005 Paris",75005,48.92363,2.339721,Méditerranéen,Fruits de mer,50-100,Haut de gamme,3.9,15,Branché,0112423729,false
Riou,"61 avenue de l'Opéra, 75004 Paris",75004,48.841129,2.274408,Grecque,Street food,50-100,Haut de gamme,3.1,866,Historique,0186781290,false
Lagarde & Pascal,"1 rue de Belleville, 75012 Paris",75012,48.866377,2.329923,Grecque,Tapas,10-20,Bon marché,4.0,379,Branché,0177797474,false
Vasseur & Pottier,"96 boulevard de Clichy, 75001 Paris",75001,48.909275,2.391165,Japonais,Ramen,10-20,Bon marché,4.5,762,Festif,0127155579,true
Germain & Lecoq,"123 boulevard de la Villette, 75006 Paris",75006,48.968151,2.342315,Végan,,50-100,Haut de gamme,3.1,216,Familial,0135155049,false
Les Diallo,"10 rue de Ménilmontant, 75007 Paris",75007,48.831759,2.367652,Italien,,30-50,Moyenne gamme,3.5,828,Intime,0165616659,true
Les Lefèvre,"133 rue de la Roquette, 75003 Paris",75003,48.922003,2.27833,Végan,Libanais,100+,Haut de gamme,3.6,115,Branché,0151944749,true
Rolland & David,"90 boulevard de Grenelle, 75002 Paris",75002,48.936186,2.3655,Crêperie,Grecque,30-50,Moyenne gamme,4.3,820,Familial,0119959161,true
Table Petit du Chef,"18 rue des Rosiers, 75012 Paris",75012,48.853446,2.297377,Italien,Tapas,50-100,Haut de gamme,4.9,390,Authentique,0119832777,true
Aux Savoureux des Délices,"100 rue Vaugirard, 75004 Paris",75004,48.952775,2.325669,Américain,,20-30,Moyenne gamme,5.0,302,Historique,0135252719,true
Maréchal,"82 avenue de la République, 75012 Paris",75012,48.934651,2.290245,Gastronomique,Mexicain,20-30,Moyenne gamme,4.4,959,Décontracté,0156753825,false
Royer & François,"7 place Vendôme, 75018 Paris",75018,48.930758,2.389968,Brésilien,,100+,Haut de gamme,3.3,915,Branché,0118496071,false
Café Parisien de Paris,"116 rue Didot, 75017 Paris",75017,48.854852,2.370586,Caribéen,Fruits de mer,20-30,Moyenne gamme,3.9,942,Familial,0125762948,true
Les Lecomte,"133 rue Daguerre, 75003 Paris",75003,48.911985,2.372508,Caribéen,Tapas,30-50,Moyenne gamme,4.2,105,Convivial,0192318584,true
Cuisine Parisien,"11 avenue des Champs-Élysées, 75003 Paris",75003,48.851356,2.291629,Américain,Sushi,100+,Haut de gamme,3.8,664,Romantique,0173907947,false
Duhamel & Wagner,"77 rue Didot, 75003 Paris",75003,48.862992,2.345481,Libanais,Brasserie,50-100,Haut de gamme,3.4,631,Élégant,0150505461,true
Les Gomes,"62 rue Didot, 75004 Paris",75004,48.832272,2.277088,Espagnol,Végétarien,30-50,Moyenne gamme,4.9,894,Vue panoramique,0141305183,false
Bègue & Didier,"6 rue Montorgueil, 75013 Paris",75013,48.950017,2.373676,Espagnol,Crêperie,10-20,Bon marché,3.1,516,Historique,0146781123,true
Delaunay & Weiss,"94 boulevard Saint-Germain, 75013 Paris",75013,48.821873,2.266436,Caribéen,Gastronomique,30-50,Moyenne gamme,3.1,526,Authentique,0180458997,false
Les Albert,"87 rue Vaugirard, 75012 Paris",75012,48.951832,2.273763,Burger,Coréen,100+,Haut de gamme,3.1,49,Élégant,0152707668,true
Cuisine d'Or,"101 rue de Belleville, 75010 Paris",75010,48.966583,2.349229,Africain,,100+,Haut de gamme,4.0,586,Moderne,0170125752,false
Bistrot Parisien des Gourmets,"148 rue Lepic, 75002 Paris",75002,48.818682,2.253219,Libanais,Ramen,100+,Haut de gamme,4.5,399,Élégant,0197411483,false
Les Meunier,"108 rue Cler, 75014 Paris",75014,48.912579,2.339331,Grecque,Street food,50-100,Haut de gamme,4.7,763,Familial,0127763681,true
Les Aubry,"45 rue Didot, 75018 Paris",75018,48.966984,2.3811,Vietnamien,Ramen,30-50,Moyenne gamme,4.2,206,Calme,0145814838,false
Chez Guillaume,"126 rue de Turbigo, 75016 Paris",75016,48.813435,2.407082,Américain,Street food,100+,Haut de gamme,3.8,414,Intime,0128471546,false
Les Hoarau,"123 rue de Buci, 75007 Paris",75007,48.839582,2.267034,Pizza,,30-50,Moyenne gamme,3.3,640,Calme,0141169577,true
Les Vallet,"121 boulevard Haussmann, 75005 Paris",75005,48.909803,2.404349,Caribéen,,20-30,Moyenne gamme,3.8,967,Historique,0171933546,true
L'Assiette Royal de la Place,"10 avenue Montaigne, 75014 Paris",75014,48.902473,2.407837,Fruits de mer,,10-20,Bon marché,5.0,416,Historique,0133471411,true
Les Guilbert,"73 rue Didot, 75018 Paris",75018,48.831654,2.375225,Indien,,50-100,Haut de gamme,3.5,838,Cosy,0152306892,true
Les Tanguy,"146 boulevard de Magenta, 75007 Paris",75007,48.801161,2.315208,Coréen,,100+,Haut de gamme,3.7,420,Cosy,0133277151,false
Charles & Letellier,"69 rue du Cherche-Midi, 75010 Paris",75010,48.95217,2.369605,Français,Crêperie,20-30,Moyenne gamme,3.1,131,Authentique,0149306197,false
Les Mary,"31 boulevard de la Villette, 75010 Paris",75010,48.936339,2.390353,Espagnol,Fruits de mer,50-100,Haut de gamme,3.3,775,Intime,0163998070,false
Chez Aurélie,"21 avenue de Clichy, 75015 Paris",75015,48.945263,2.325113,Vietnamien,Street food,10-20,Bon marché,3.1,570,Convivial,0135837829,true
Chez Isabelle,"150 boulevard Barbès, 75003 Paris",75003,48.852389,2.253701,Brasserie,,50-100,Haut de gamme,3.3,435,Authentique,0182178169,false
Les Alexandre,"1 rue de Buci, 75019 Paris",75019,48.823023,2.359059,Grecque,Végan,100+,Haut de gamme,5.0,967,Branché,0170144662,true
Étienne & Vasseur,"96 boulevard Raspail, 75015 Paris",75015,48.966383,2.39192,Bistrot,Caribéen,20-30,Moyenne gamme,4.3,366,Cosy,0132786077,true
Grégoire,"119 boulevard de Magenta, 75018 Paris",75018,48.930229,2.400239,Coréen,,20-30,Moyenne gamme,3.9,168,Traditionnel,0134241494,true
Les Grand des Gourmets,"9 boulevard de Grenelle, 75020 Paris",75020,48.955787,2.347939,Italien,Végétarien,50-100,Haut de gamme,3.9,562,Animé,0117277447,true
Les Faivre,"37 avenue de la République, 75017 Paris",75017,48.965289,2.41007,Mexicain,Gastronomique,100+,Haut de gamme,4.8,943,Décontracté,0190966481,true
Rousseau & Masson,"135 rue de Turbigo, 75014 Paris",75014,48.964524,2.344739,Mexicain,Sushi,100+,Haut de gamme,3.9,879,Calme,0148286917,false
Chez Honoré,"100 rue des Rosiers, 75009 Paris",75009,48.806723,2.262373,Japonais,,30-50,Moyenne gamme,3.2,751,Animé,0116445896,false
Chez Lorraine,"86 avenue de l'Opéra, 75001 Paris",75001,48.840686,2.304675,Marocain,,10-20,Bon marché,4.5,782,Historique,0141998736,true
Les Leroux,"98 rue Didot, 75018 Paris",75018,48.895629,2.287617,Mexicain,Gastronomique,50-100,Haut de gamme,3.9,832,Historique,0150365750,true
Chez Sophie,"5 boulevard de Clichy, 75018 Paris",75018,48.960389,2.307386,Street food,,30-50,Moyenne gamme,3.3,347,Calme,0158824173,false
Bazin & Briand,"126 rue Didot, 75006 Paris",75006,48.801085,2.273374,Crêperie,Caribéen,50-100,Haut de gamme,3.4,920,Familial,0177141995,true
Chez Jeannine,"18 rue de Bretagne, 75005 Paris",75005,48.869928,2.252843,Africain,Végétarien,100+,Haut de gamme,4.3,966,Historique,0194721210,false
Les Andre,"138 rue Daguerre, 75001 Paris",75001,48.938586,2.295445,Grecque,,20-30,Moyenne gamme,3.2,108,Convivial,0129403489,false
Collin & Weber,"21 place Vendôme, 75013 Paris",75013,48.864119,2.330921,Espagnol,,20-30,Moyenne gamme,3.6,857,Branché,0193931421,true
Evrard,"22 boulevard Barbès, 75014 Paris",75014,48.812639,2.407349,Thaïlandais,Végan,100+,Haut de gamme,4.8,245,Animé,0198827044,true
Saveur d'Or,"81 avenue des Champs-Élysées, 75007 Paris",75007,48.823792,2.418041,Coréen,,30-50,Moyenne gamme,3.3,256,Terrasse,0196795259,false
Restaurant Petit de Paris,"112 rue Lepic, 75003 Paris",75003,48.873414,2.365548,Coréen,,30-50,Moyenne gamme,3.1,289,Authentique,0172395580,false
Deschamps & Lenoir,"22 rue de Belleville, 75010 Paris",75010,48.960303,2.325605,Ramen,Américain,20-30,Moyenne gamme,3.8,812,Élégant,0159505623,true
Les Dubois,"27 rue Mouffetard, 75003 Paris",75003,48.946832,2.252098,Brésilien,Gastronomique,50-100,Haut de gamme,3.2,101,Intime,0180218686,false
Bazin & Mace,"100 rue Montorgueil, 75018 Paris",75018,48.846914,2.300958,Burger,Libanais,50-100,Haut de gamme,3.3,285,Moderne,0144732818,true
L'Assiette Traditionnel du Coin,"127 rue Saint-Maur, 75020 Paris",75020,48.946116,2.415618,Chinois,Végétarien,50-100,Haut de gamme,3.7,645,Terrasse,0152665265,false
Chez Gabriel,"77 rue de Turbigo, 75020 Paris",75020,48.933597,2.312053,Burger,Libanais,50-100,Haut de gamme,4.9,308,Historique,0183415158,true
Assiette Parisien,"140 avenue Montaigne, 75018 Paris",75018,48.841144,2.361973,Brésilien,,20-30,Moyenne gamme,3.9,308,Branché,0162967327,false
Normand & Regnier,"97 rue Saint-Honoré, 75015 Paris",75015,48.891274,2.358491,Brasserie,Caribéen,100+,Haut de gamme,4.8,900,Vue panoramique,0179145699,false
L'Assiette Parisien du Coin,"91 rue des Martyrs, 75020 Paris",75020,48.888196,2.348688,Coréen,,30-50,Moyenne gamme,4.9,450,Cosy,0111224338,false
Les Hamel,"101 rue Didot, 75019 Paris",75019,48.933326,2.33859,Indien,Végétarien,50-100,Haut de gamme,3.2,435,Branché,0124285449,true
Les Da Costa,"122 boulevard Haussmann, 75015 Paris",75015,48.958087,2.375883,Brasserie,Mexicain,10-20,Bon marché,4.6,127,Romantique,0153922396,false
Goût Parisien,"41 rue du Cherche-Midi, 75018 Paris",75018,48.873024,2.250757,Brésilien,Bistrot,20-30,Moyenne gamme,3.4,683,Vue panoramique,0160138835,true
Chez Pauline,"53 rue de la Roquette, 75003 Paris",75003,48.866732,2.269419,Caribéen,Crêperie,20-30,Moyenne gamme,3.9,278,Historique,0177915086,true
Les Clerc,"118 rue de Belleville, 75006 Paris",75006,48.863462,2.274031,Ramen,,100+,Haut de gamme,4.2,698,Élégant,0150254049,true
Leblanc & Marie,"108 rue Saint-Maur, 75005 Paris",75005,48.853479,2.32667,Grecque,Tapas,100+,Haut de gamme,4.4,670,Décontracté,0181317246,true
Gay,"3 boulevard Barbès, 75005 Paris",75005,48.805246,2.37938,Coréen,,100+,Haut de gamme,4.3,428,Historique,0163667231,true
Les Barbier,"9 rue de la Roquette, 75008 Paris",75008,48.931769,2.389958,Libanais,,100+,Haut de gamme,4.5,794,Historique,0180752483,true
Les De Sousa,"139 boulevard Saint-Germain, 75015 Paris",75015,48.819956,2.388021,Grecque,Tapas,20-30,Moyenne gamme,3.6,43,Authentique,0143542166,false
Chez Adrien,"90 rue de Bretagne, 75020 Paris",75020,48.828624,2.41643,Libanais,Sushi,20-30,Moyenne gamme,4.6,834,Familial,0182547845,false
Les Mace,"75 avenue Parmentier, 75009 Paris",75009,48.822557,2.274861,Gastronomique,,10-20,Bon marché,3.3,778,Vue panoramique,0117459326,false
Les Fouquet,"64 boulevard de Magenta, 75013 Paris",75013,48.862742,2.411543,Américain,Bistrot,50-100,Haut de gamme,3.2,823,Branché,0161754598,false
Les Charles,"149 rue de Rivoli, 75003 Paris",75003,48.848211,2.343043,Brasserie,Vietnamien,10-20,Bon marché,4.6,417,Animé,0164377344,true
Chez Constance,"145 boulevard Barbès, 75011 Paris",75011,48.917061,2.272425,Sushi,Chinois,50-100,Haut de gamme,3.0,961,Décontracté,0166681064,true
Les Ledoux,"41 rue de la Roquette, 75003 Paris",75003,48.816181,2.286282,Américain,Tapas,20-30,Moyenne gamme,3.1,650,Moderne,0199396493,true
L'Assiette Royal du Coin,"114 rue de Rivoli, 75001 Paris",75001,48.862485,2.300873,Chinois,,50-100,Haut de gamme,4.4,499,Branché,0139592123,true
Colin & Guillou,"35 rue de Ménilmontant, 75005 Paris",75005,48.814737,2.267079,Français,Fruits de mer,50-100,Haut de gamme,3.7,228,Élégant,0162889766,false
Auberge Délicieux du Palais,"81 rue Mouffetard, 75008 Paris",75008,48.83207,2.316598,Japonais,Street food,100+,Haut de gamme,4.4,301,Romantique,0194483676,false
Toussaint,"62 boulevard Barbès, 75013 Paris",75013,48.892881,2.279371,Méditerranéen,Végan,100+,Haut de gamme,4.8,22,Intime,0150265982,true
Riou & Guillou,"19 avenue des Champs-Élysées, 75019 Paris",75019,48.891216,2.354728,Américain,Végétarien,50-100,Haut de gamme,4.0,653,Convivial,0163649961,true
Maison Nouveau du Chef,"138 rue de Turbigo, 75013 Paris",75013,48.913234,2.361869,Japonais,Bistrot,20-30,Moyenne gamme,3.1,98,Vue panoramique,0124688887,true
Chez Louis,"31 rue de Rivoli, 75005 Paris",75005,48.82007,2.402983,Fruits de mer,Vietnamien,100+,Haut de gamme,4.0,852,Traditionnel,0131572644,false
Les Brunet,"110 rue de la Roquette, 75017 Paris",75017,48.9146,2.269607,Japonais,Gastronomique,30-50,Moyenne gamme,3.1,889,Décontracté,0157304223,false
Saveur de Paris,"4 rue des Rosiers, 75002 Paris",75002,48.870764,2.372449,Coréen,,20-30,Moyenne gamme,4.9,888,Familial,0180936338,true
Les Besson,"20 avenue Parmentier, 75012 Paris",75012,48.894026,2.251355,Italien,Sushi,100+,Haut de gamme,5.0,986,Terrasse,0118694649,true
Chez Paulette,"75 avenue Parmentier, 75010 Paris",75010,48.858892,2.392728,Burger,Méditerranéen,20-30,Moyenne gamme,4.5,569,Calme,0129106213,true
Gimenez,"1 avenue de la République, 75013 Paris",75013,48.83935,2.393736,Ramen,Marocain,100+,Haut de gamme,5.0,439,Historique,0117284521,true
